[Countries]
Afghanistan=011100000000xxxxxxxxxxxx,12,Afghanistan.bmp
Albania=01010000000100xxxxxxxxxx,14,Albania.bmp
Algeria=000010100xxxxxxxxxxxxxxx,9,Algeria.bmp
Algeria Mil=000010100100xxxxxxxxxxxx,12,Algeria_Mil.bmp
Angola=000010010000xxxxxxxxxxxx,12,Angola.bmp
Antigua and Barbuda=00001100101000xxxxxxxxxx,14,Antigua_and_Barbuda.bmp
Argentina=111000xxxxxxxxxxxxxxxxxx,6,Argentina.bmp
Argentina Mil=111000010100110000110001,24,Argentina_Mil.bmp
Argentina Mil=111000010100110000110010,24,Argentina_Mil.bmp
Argentina Mil=111000010100110000110011,24,Argentina_Mil.bmp
Argentina Mil=111000010100110001110000,24,Argentina_Mil.bmp
Armenia=01100000000000xxxxxxxxxx,14,Armenia.bmp
Aruba=010010000100000001110100,24,Aruba.bmp
Aruba=010010000100000100000001,24,Aruba.bmp
Aruba=010010000100000100000111,24,Aruba.bmp
Aruba=010010000100000100011000,24,Aruba.bmp
Aruba=01001000010000010010xxxx,20,Aruba.bmp
Aruba=01001000010000110011xxxx,20,Aruba.bmp
Aruba=01001000010000110100xxxx,20,Aruba.bmp
Aruba=01001000010000110101xxxx,20,Aruba.bmp
Aruba=010010000100001101100xxx,21,Aruba.bmp
Aruba=01001000010001001001xxxx,20,Aruba.bmp
Aruba=010010000101000010011001,24,Aruba.bmp
Aruba=010010000100000011000110,24,Aruba.bmp
Aruba=010010000100000011011101,24,Aruba.bmp
Aruba=010010000100000011011110,24,Aruba.bmp
Aruba=010010000100000011101010,24,Aruba.bmp
Aruba=010010000100000011111011,24,Aruba.bmp
Aruba=01001000010000010001101x,23,Aruba.bmp
Aruba=0100100001000001000111xx,22,Aruba.bmp
Aruba=01001000010000010010101x,23,Aruba.bmp
Aruba=0100100001000001001011xx,22,Aruba.bmp
Aruba=01001000010000110011101x,23,Aruba.bmp
Aruba=0100100001000011001111xx,22,Aruba.bmp
Aruba=01001000010000110100101x,23,Aruba.bmp
Aruba=0100100001000011010011xx,22,Aruba.bmp
Aruba=01001000010000110101101x,23,Aruba.bmp
Aruba=0100100001000011010111xx,22,Aruba.bmp
Aruba=0100100001000100100011xx,22,Aruba.bmp
Aruba=01001000010001001001101x,23,Aruba.bmp
Aruba=0100100001000100100111xx,22,Aruba.bmp
Aruba=01001000010001001010xxxx,20,Aruba.bmp
Aruba=010010000100010010110xxx,21,Aruba.bmp
Aruba=0100100001000100101110xx,22,Aruba.bmp
Aruba=01001000010001001011110x,23,Aruba.bmp
Aruba=01001000010100001001101x,23,Aruba.bmp
Aruba=0100100001010000100111xx,22,Aruba.bmp
Aruba=0100100001010000101xxxxx,19,Aruba.bmp
Aruba=010010000101000011000xxx,21,Aruba.bmp
Aruba=0100100001010000110010xx,22,Aruba.bmp
Australia=011111xxxxxxxxxxxxxxxxxx,6,Australia.bmp
Australia Mil=01111100100000100010111x,23,Australia.bmp
Australia Mil=01111100100000100011xxxx,20,Australia.bmp
Australia Mil=011111001000001001xxxxxx,18,Australia.bmp
Australia Mil=01111100100000101xxxxxxx,17,Australia.bmp
Australia Mil=0111110010000011xxxxxxxx,16,Australia.bmp
Australia Mil=01111100100001xxxxxxxxxx,14,Australia.bmp
Australia Mil=0111110010001xxxxxxxxxxx,13,Australia.bmp
Australia Mil=011111001001xxxxxxxxxxxx,12,Australia.bmp
Australia=011111001010xxxxxxxxxxxx,12,Australia.bmp	
Australia=011111001011xxxxxxxxxxxx,12,Australia.bmp	
Australia=011111001100xxxxxxxxxxxx,12,Australia.bmp	
Australia=011111001101xxxxxxxxxxxx,12,Australia.bmp	
Australia Mil=01111100101xxxxxxxxxxxxx,11,Australia.bmp
Australia Mil=0111110011xxxxxxxxxxxxxx,10,Australia.bmp
Australia Mil=01111101xxxxxxxxxxxxxxxx,8,Australia.bmp
Australia Mil=0111111xxxxxxxxxxxxxxxxx,7,Australia.bmp
Australia=011111001111100000011011,24,Australia.bmp
Australia=011111001111110000100001,24,Australia.bmp	
Australia=011111001111110000100011,24,Australia.bmp	
Australia=011111001111110000100101,24,Australia.bmp	
Australia=011111001111110000100110,24,Australia.bmp	
Australia=011111001111110000101001,24,Australia.bmp	
Australia=011111001111110000110101,24,Australia.bmp	
Australia=011111001111110000110110,24,Australia.bmp	
Australia=011111001111110000110111,24,Australia.bmp	
Australia=011111001111101010000100,24,Australia.bmp	
Australia=011111001111101010001100,24,Australia.bmp	
Australia=011111001111110001100011,24,Australia.bmp	
Australia=011111010000000000010000,24,Australia.bmp	
Australia=011111010000000000010001,24,Australia.bmp	
Australia=011111010000000000010011,24,Australia.bmp	
Australia=011111010000000000010100,24,Australia.bmp	
Australia=011111010000000000010111,24,Australia.bmp	
